Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,374.0249,374.0249,0.8718,137.9858,143.3962,144.1651,1.8293,1,1,673,648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9075,0.9531,0.9897,1.0492,84.6217,1.0000,2019-08-15,21.8225,23.2728,21.8225,19.8444,1.8430,1.0000,10.0000,-90.0000,0.0000,1.0970,0.0000,1.0000,24.1788,24.1788,E01_20190815_4x_01_000001.tif,20,22,0,0,141.8774,26.5249,F30C6A30-D738-49FE-8AD8-AC82D0F8B10C,1,96.7152,0.9623,1.0448,1.0054,1.1429,0.0000,0.0000,0.0000,12.0883,10,0.0000,0,0.0000,0.0000,30078.0000,0.9054,12:27:52,2019-08-15T12:27:52.389,0.0623,5.441449e+03,6.599976e+03,21.0369
2,2015.6414,2076.1543,0.5397,143.7543,147.1904,148.5221,1.8293,1,1,329,1788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1732,0.2993,0.7113,3.3411,211.9068,0.8447,2019-08-15,50.6596,63.6698,51.4144,43.5541,2.0000,8.3770,-75.0000,40.0000,0.9679,0.5082,0.0000,0.1194,152.9934,18.2635,E01_20190815_4x_01_000001.tif,47,40,24,0,146.3256,77.7452,9DFE3B56-4CAD-4AEA-84E6-90121D855B3D,1,342.5137,0.9767,1.0332,1.0090,1.6163,0.0000,0.0000,0.0000,9.6977,11,0.0000,0,0.0000,0.0000,119109.0000,0.1256,12:27:52,2019-08-15T12:27:52.556,0.2043,6.807438e+04,1.351447e+05,48.4764
3,6598.6784,6598.6784,0.0343,121.0542,128.0884,131.9009,1.8293,1,1,809,146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0684,0.0483,14.6269,1128.3372,0.6524,2019-08-15,91.6608,355.2907,91.6608,57.7492,2.0000,43.9291,-90.0000,0.0000,0.0603,0.9431,0.0000,0.0228,586.7521,13.3568,E01_20190815_4x_01_000001.tif,311,23,66,0,126.4206,553.3632,54BE990D-9156-447B-A655-6DCE407203F6,1,1200.2177,0.9451,1.0896,1.0298,1.0637,0.0000,0.0000,0.0000,20.1885,11,0.0000,0,0.0000,0.0000,296077.0000,0.1436,12:27:52,2019-08-15T12:27:52.556,0.7420,4.032267e+05,2.348282e+07,26.5249
4,1340.1393,1340.1393,0.6430,63.5035,66.1597,67.8924,1.8293,1,1,775,128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6460,0.6834,0.8817,1.4632,160.3415,0.9779,2019-08-15,41.3076,47.4094,41.3076,177.5795,2.0000,2.1264,-90.0000,-20.0000,0.1110,0.9001,0.0000,0.4703,64.0210,30.1072,E01_20190815_4x_01_000001.tif,40,28,91,0,65.5677,57.6229,A43ED7DF-5572-4AA3-AF17-6673D31837E8,1,188.2563,0.9599,1.0691,1.0262,1.1741,0.0000,0.0000,0.0000,40.6515,11,0.0000,0,0.0000,0.0000,37767.0000,0.7265,12:27:52,2019-08-15T12:27:52.556,0.1287,3.690530e+04,5.579443e+04,33.8421
5,1396.0399,1396.0399,0.8812,130.7819,137.6829,139.5386,1.8293,1,1,609,123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8005,0.7086,0.9655,1.4113,158.8096,0.9699,2019-08-15,42.1603,46.9012,42.1603,23.0941,2.0000,1.9103,-60.0000,10.0000,0.1438,0.8743,0.0000,0.5235,61.7248,32.3115,E01_20190815_4x_01_000001.tif,33,33,121,0,135.8322,53.9643,4D3BEE7A-BAEA-4E4C-881F-8056E0EC002A,1,188.0725,0.9499,1.0670,1.0135,1.1843,0.0000,0.0000,0.0000,12.7546,11,0.0000,0,0.0000,0.0000,80956.0000,0.6989,12:27:52,2019-08-15T12:27:52.556,0.1011,3.923833e+04,5.401956e+04,41.1593
6,584.5360,631.0140,0.4108,146.8412,154.1182,156.3581,1.8293,1,1,848,465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4087,0.3468,0.6260,2.8836,143.5750,0.8385,2019-08-15,27.2810,41.6674,28.3449,8.3978,2.3430,6.9145,-90.0000,0.0000,0.4337,0.6975,0.0000,0.1446,85.2375,12.3273,E01_20190815_4x_01_000001.tif,41,20,156,0,152.1892,59.4522,08734D33-3EDE-428C-BC05-B59473D3730C,1,195.1297,0.9528,1.0648,1.0145,1.3591,0.0000,0.0000,0.0000,2.2006,13,0.0000,0,0.0000,0.0000,45048.0000,0.5639,12:27:52,2019-08-15T12:27:52.889,0.3453,1.063116e+04,3.787804e+04,21.0369
7,1840.6032,2067.5020,0.2323,147.0438,151.0903,151.8035,1.8293,1,1,539,1527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2418,0.3060,4.1350,315.1619,0.7033,2019-08-15,48.4100,96.5972,51.3072,17.8398,2.5000,10.8987,-80.0000,10.0000,0.2448,0.8034,0.0000,0.0918,174.1946,15.9830,E01_20190815_4x_01_000001.tif,84,28,178,0,149.9748,139.9415,3874C7C4-4AB2-4F78-B769-99C154DED12C,2,380.3552,0.9732,1.0324,1.0047,1.2069,0.0000,0.0000,0.0000,7.0852,14,0.0000,0,0.0000,0.0000,112931.0000,0.2723,12:27:53,2019-08-15T12:27:53.056,0.4988,5.940241e+04,4.719460e+05,33.8421
8,662.2174,664.8251,0.8441,106.1166,112.1012,112.0736,1.8293,1,1,296,1526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8512,0.8149,0.9746,1.2272,110.2191,1.0000,2019-08-15,29.0372,31.2505,29.0944,36.2373,2.5000,1.0000,-70.0000,0.0000,0.0000,1.0421,0.0000,1.0000,32.4757,32.4757,E01_20190815_4x_01_000001.tif,26,24,208,0,110.2822,33.8421,1D490864-1917-410A-A5B0-33BB55C7A22A,1,129.9026,0.9466,1.0561,0.9998,1.1786,0.0000,0.0000,0.0000,45.9392,14,0.0000,0,0.0000,0.0000,35952.0000,0.7932,12:27:53,2019-08-15T12:27:53.056,0.0708,1.281931e+04,1.597980e+04,28.3541
9,2567.2298,2754.8568,0.4621,146.6145,150.3536,152.0339,1.8293,1,1,344,1518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1121,0.3801,8.9175,344.9506,0.5109,2019-08-15,57.1725,105.9978,59.2249,22.1695,2.5000,25.9765,80.0000,0.0000,1.1218,0.4713,0.0000,0.0385,304.6921,11.7295,E01_20190815_4x_01_000001.tif,86,41,234,0,149.4223,143.6000,3A378001-4A91-40E8-86E5-8851963EDF67,1,632.8432,0.9751,1.0370,1.0112,1.8346,0.0000,0.0000,0.0000,7.8243,14,0.0000,0,0.0000,0.0000,150020.0000,0.1856,12:27:53,2019-08-15T12:27:53.056,0.4606,9.785002e+04,6.235752e+05,59.4522
10,693.5841,698.8271,0.9765,133.4467,137.8254,140.9911,1.8293,1,1,702,34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1306,0.2314,0.3445,4.3215,201.0929,0.4683,2019-08-15,29.7170,60.2145,29.8291,71.9138,2.5000,11.4894,-75.0000,20.0000,0.8116,0.5520,0.0000,0.0870,114.3335,9.9512,E01_20190815_4x_01_000001.tif,40,42,277,0,136.8728,63.1108,AEA3E15F-6BCB-4F6C-8B2C-15F18F21A2B9,1,248.5694,0.9682,1.0565,1.0230,1.2361,0.0000,0.0000,0.0000,21.6033,14,0.0000,0,0.0000,0.0000,46263.0000,0.1377,12:27:53,2019-08-15T12:27:53.056,0.5065,1.374081e+04,1.143144e+05,55.7936
