017
num-fields|65
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|0|0|22|20|673|648|10|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|212.0000|19.0000|16.0000|17.2222|52.8701|50.7591|17.6045|15.3471|374.0249|21.8225|26.5249|21.0369|23.2728|21.8225|96.7152|84.6217|141.8774|12.0883|30078.0000|1.0492|1.0000|1.1429|19.8444|1.8430|0.9075|0.9054|0.9897|0.0000|197.5000|212.0000|374.0249|10.0000|-90.0000|144.1651|143.3962|137.9858|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.389|E01_20190815_4x_01_000001.tif|F30C6A30-D738-49FE-8AD8-AC82D0F8B10C
2|24|0|40|47|329|1788|11|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|814.0000|47.0000|31.0000|39.3056|187.2376|120.3404|48.1139|25.9665|2015.6414|50.6596|77.7452|48.4764|63.6698|51.4144|342.5137|211.9068|146.3256|9.6977|119109.0000|3.3411|8.3770|1.6163|43.5541|2.0000|0.1732|0.1256|0.7113|0.0000|988.5000|835.0000|2076.1543|-75.0000|40.0000|148.5221|147.1904|143.7543|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.556|E01_20190815_4x_01_000001.tif|9DFE3B56-4CAD-4AEA-84E6-90121D855B3D
3|66|0|23|311|809|146|11|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|2342.0000|307.0000|19.0000|198.7222|656.1076|621.3137|351.1091|12.0282|6598.6784|91.6608|553.3632|26.5249|355.2907|91.6608|1200.2177|1128.3372|126.4206|20.1885|296077.0000|14.6269|43.9291|1.0637|57.7492|2.0000|0.0000|0.1436|0.0483|0.0000|3590.0000|2342.0000|6598.6784|-90.0000|0.0000|131.9009|128.0884|121.0542|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.556|E01_20190815_4x_01_000001.tif|54BE990D-9156-447B-A655-6DCE407203F6
4|91|0|28|40|775|128|11|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|576.0000|36.0000|23.0000|30.4167|102.9117|92.1519|34.3066|22.0596|1340.1393|41.3076|57.6229|33.8421|47.4094|41.3076|188.2563|160.3415|65.5677|40.6515|37767.0000|1.4632|2.1264|1.1741|177.5795|2.0000|0.6460|0.7265|0.8817|0.0000|589.0000|576.0000|1340.1393|-90.0000|-20.0000|67.8924|66.1597|63.5035|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.556|E01_20190815_4x_01_000001.tif|A43ED7DF-5572-4AA3-AF17-6673D31837E8
5|121|0|33|33|609|123|11|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|596.0000|34.0000|27.0000|30.1389|102.8112|91.3144|29.7465|26.2127|1396.0399|42.1603|53.9643|41.1593|46.9012|42.1603|188.0725|158.8096|135.8322|12.7546|80956.0000|1.4113|1.9103|1.1843|23.0941|2.0000|0.8005|0.6989|0.9655|0.0000|614.5000|596.0000|1396.0399|-60.0000|10.0000|139.5386|137.6829|130.7819|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.556|E01_20190815_4x_01_000001.tif|4D3BEE7A-BAEA-4E4C-881F-8056E0EC002A
6|156|0|20|41|848|465|13|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|296.0000|37.0000|16.0000|27.2778|106.6690|82.9863|33.0583|13.5814|584.5360|27.2810|59.4522|21.0369|41.6674|28.3449|195.1297|143.5750|152.1892|2.2006|45048.0000|2.8836|6.9145|1.3591|8.3978|2.3430|0.4087|0.5639|0.6260|0.0000|374.5000|314.0000|631.0140|-90.0000|0.0000|156.3581|154.1182|146.8412|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:52.889|E01_20190815_4x_01_000001.tif|08734D33-3EDE-428C-BC05-B59473D3730C
7|178|0|28|84|539|1527|14|1|2|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|753.0000|81.0000|23.0000|57.3056|207.9239|176.7855|81.0519|18.8285|1840.6032|48.4100|139.9415|33.8421|96.5972|51.3072|380.3552|315.1619|149.9748|7.0852|112931.0000|4.1350|10.8987|1.2069|17.8398|2.5000|0.0000|0.2723|0.3060|0.0000|1183.0000|832.0000|2067.5020|-80.0000|10.0000|151.8035|151.0903|147.0438|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:53.056|E01_20190815_4x_01_000001.tif|3874C7C4-4AB2-4F78-B769-99C154DED12C
8|208|0|24|26|296|1526|14|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|326.0000|23.0000|20.0000|21.5833|71.0122|64.7520|22.3364|18.8534|662.2174|29.0372|33.8421|28.3541|31.2505|29.0944|129.9026|110.2191|110.2822|45.9392|35952.0000|1.2272|1.0000|1.1786|36.2373|2.5000|0.8512|0.7932|0.9746|0.0000|316.5000|327.0000|664.8251|-70.0000|0.0000|112.0736|112.1012|106.1166|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:53.056|E01_20190815_4x_01_000001.tif|1D490864-1917-410A-A5B0-33BB55C7A22A
9|234|0|41|86|344|1518|14|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|1004.0000|83.0000|37.0000|62.4444|345.9483|193.0697|76.7876|35.4825|2567.2298|57.1725|143.6000|59.4522|105.9978|59.2249|632.8432|344.9506|149.4223|7.8243|150020.0000|8.9175|25.9765|1.8346|22.1695|2.5000|0.0000|0.1856|0.3801|0.0000|2090.5000|1068.0000|2754.8568|80.0000|0.0000|152.0339|150.3536|146.6145|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:53.056|E01_20190815_4x_01_000001.tif|3A378001-4A91-40E8-86E5-8851963EDF67
10|277|0|42|40|702|34|14|1|1|0|1.8293|4.5000|0|0.0000|0.0000|0.0000|338.0000|39.0000|35.0000|37.4167|135.8822|114.4289|35.8670|35.0229|693.5841|29.7170|63.1108|55.7936|60.2145|29.8291|248.5694|201.0929|136.8728|21.6033|46263.0000|4.3215|11.4894|1.2361|71.9138|2.5000|0.1306|0.1377|0.3445|0.0000|726.0000|340.0000|698.8271|-75.0000|20.0000|140.9911|137.8254|133.4467|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2019-08-15T12:27:53.056|E01_20190815_4x_01_000001.tif|AEA3E15F-6BCB-4F6C-8B2C-15F18F21A2B9
