Name,Date,Time,CollageFile,ImageFilename,Id,GroupId,Uuid,SrcImage,SrcX,SrcY,ImageX,ImageY,ImageW,ImageH,Timestamp,ElapsedTime,CalConst,CalImage,AbdArea,AbdDiameter,AbdVolume,AspectRatio,AvgBlue,AvgGreen,AvgRed,BiovolumeCylinder,BiovolumePSpheroid,BiovolumeSphere,Ch1Area,Ch1Peak,Ch1Width,Ch2Area,Ch2Ch1Ratio,Ch2Peak,Ch2Width,Ch3Area,Ch3Peak,Ch3Width,CircleFit,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,EdgeGradient,Elongation,EsdDiameter,EsdVolume,FdDiameter,FeretMaxAngle,FeretMinAngle,FiberCurl,FiberStraightness,FilledArea,FilterScore,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Intensity,Length,Perimeter,Ppc,RatioBlueGreen,RatioRedBlue,RatioRedGreen,Roughness,ScatterArea,ScatterPeak,SigmaIntensity,SphereComplement,SphereCount,SphereUnknown,SphereVolume,SumIntensity,Symmetry,Transparency,Width,BiovolumeMS,SurfaceAreaMS,Preprocessing,PreprocessingTrue,LabelPredicted,ProbabilityScore,LabelTrue,LC_Label,LC_Excluded,LC_Seen
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,1,,F30C6A30-D738-49FE-8AD8-AC82D0F8B10C,10,673,648,0,0,22,20,2019-08-15 12:27:52.389000,1.843,1.8293,1,374.0249,21.8225,5441.449,0.8718,137.9858,143.3962,144.1651,,,,0,0,0,0,0,0,0,,,,0.9075,0.9531,0.9897,1.0492,84.6217,1.0,19.8444,1.0,23.2728,6599.976,21.8225,10,-90,0.0,1.097,374.0249,0,1.0,24.1788,24.1788,141.8774,26.5249,96.7152,1,,,,1.1429,0,0,12.0883,0,0,0,0,30078,0.9054,0.0623,21.0369,7282.3,2408.88,object,,Detritus,0.8039909,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,2,,9DFE3B56-4CAD-4AEA-84E6-90121D855B3D,11,329,1788,24,0,40,47,2019-08-15 12:27:52.556000,2.0,1.8293,1,2015.6414,50.6596,68074.38,0.5397,143.7543,147.1904,148.5221,,,,0,0,0,0,0,0,0,,,,0.1732,0.2993,0.7113,3.3411,211.9068,0.8447,43.5541,8.377,63.6698,135144.7,51.4144,-75,40,0.9679,0.5082,2076.1543,0,0.1194,152.9934,18.2635,146.3256,77.7452,342.5137,1,,,,1.6163,0,0,9.6977,0,0,0,0,119109,0.1256,0.2043,48.4764,9153.72,3739.43,object,,CyaMic000_3217749,0.99473625,,,,0
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,3,,54BE990D-9156-447B-A655-6DCE407203F6,11,809,146,66,0,23,311,2019-08-15 12:27:52.556000,2.0,1.8293,1,6598.6784,91.6608,403226.7,0.0343,121.0542,128.0884,131.9009,,,,0,0,0,0,0,0,0,,,,0.0,0.0684,0.0483,14.6269,1128.3372,0.6524,57.7492,43.9291,355.2907,23482820.0,91.6608,-90,0,0.0603,0.9431,6598.6784,0,0.0228,586.7521,13.3568,126.4206,553.3632,1200.2177,1,,,,1.0637,0,0,20.1885,0,0,0,0,296077,0.1436,0.742,26.5249,46019.8,18190.59,object,,CyaPlarub_3218379,0.98701453,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,4,,A43ED7DF-5572-4AA3-AF17-6673D31837E8,11,775,128,91,0,28,40,2019-08-15 12:27:52.556000,2.0,1.8293,1,1340.1393,41.3076,36905.3,0.643,63.5035,66.1597,67.8924,,,,0,0,0,0,0,0,0,,,,0.646,0.6834,0.8817,1.4632,160.3415,0.9779,177.5795,2.1264,47.4094,55794.43,41.3076,-90,-20,0.111,0.9001,1340.1393,0,0.4703,64.021,30.1072,65.5677,57.6229,188.2563,1,,,,1.1741,0,0,40.6515,0,0,0,0,37767,0.7265,0.1287,33.8421,18873.83,5046.27,object,,DinPer000_7536081,0.84256756,,,,0
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,5,,4D3BEE7A-BAEA-4E4C-881F-8056E0EC002A,11,609,123,121,0,33,33,2019-08-15 12:27:52.556000,2.0,1.8293,1,1396.0399,42.1603,39238.33,0.8812,130.7819,137.6829,139.5386,,,,0,0,0,0,0,0,0,,,,0.8005,0.7086,0.9655,1.4113,158.8096,0.9699,23.0941,1.9103,46.9012,54019.56,42.1603,-60,10,0.1438,0.8743,1396.0399,0,0.5235,61.7248,32.3115,135.8322,53.9643,188.0725,1,,,,1.1843,0,0,12.7546,0,0,0,0,80956,0.6989,0.1011,41.1593,26368.76,5581.45,object,,CyaMic000_3217749,0.8962034,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:52,E01_20190815_4x_01_000001.tif,,6,,08734D33-3EDE-428C-BC05-B59473D3730C,13,848,465,156,0,20,41,2019-08-15 12:27:52.889000,2.343,1.8293,1,584.536,27.281,10631.16,0.4108,146.8412,154.1182,156.3581,,,,0,0,0,0,0,0,0,,,,0.4087,0.3468,0.626,2.8836,143.575,0.8385,8.3978,6.9145,41.6674,37878.04,28.3449,-90,0,0.4337,0.6975,631.014,0,0.1446,85.2375,12.3273,152.1892,59.4522,195.1297,1,,,,1.3591,0,0,2.2006,0,0,0,0,45048,0.5639,0.3453,21.0369,34678.09,9536.79,object,,CyaMic000_3217749,0.78801244,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,7,,3874C7C4-4AB2-4F78-B769-99C154DED12C,14,539,1527,178,0,28,84,2019-08-15 12:27:53.056000,2.5,1.8293,1,1840.6032,48.41,59402.41,0.2323,147.0438,151.0903,151.8035,,,,0,0,0,0,0,0,0,,,,0.0,0.2418,0.306,4.135,315.1619,0.7033,17.8398,10.8987,96.5972,471946.0,51.3072,-80,10,0.2448,0.8034,2067.502,0,0.0918,174.1946,15.983,149.9748,139.9415,380.3552,2,,,,1.2069,0,0,7.0852,0,0,0,0,112931,0.2723,0.4988,33.8421,27364.3,7767.41,object,,ZygMou000_0000000,0.41770738,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,8,,1D490864-1917-410A-A5B0-33BB55C7A22A,14,296,1526,208,0,24,26,2019-08-15 12:27:53.056000,2.5,1.8293,1,662.2174,29.0372,12819.31,0.8441,106.1166,112.1012,112.0736,,,,0,0,0,0,0,0,0,,,,0.8512,0.8149,0.9746,1.2272,110.2191,1.0,36.2373,1.0,31.2505,15979.8,29.0944,-70,0,0.0,1.0421,664.8251,0,1.0,32.4757,32.4757,110.2822,33.8421,129.9026,1,,,,1.1786,0,0,45.9392,0,0,0,0,35952,0.7932,0.0708,28.3541,2642.86,1179.23,object,,ChlPanmor_5271376,0.9998281,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,9,,3A378001-4A91-40E8-86E5-8851963EDF67,14,344,1518,234,0,41,86,2019-08-15 12:27:53.056000,2.5,1.8293,1,2567.2298,57.1725,97850.02,0.4621,146.6145,150.3536,152.0339,,,,0,0,0,0,0,0,0,,,,0.0,0.1121,0.3801,8.9175,344.9506,0.5109,22.1695,25.9765,105.9978,623575.2,59.2249,80,0,1.1218,0.4713,2754.8568,0,0.0385,304.6921,11.7295,149.4223,143.6,632.8432,1,,,,1.8346,0,0,7.8243,0,0,0,0,150020,0.1856,0.4606,59.4522,20742.13,8901.54,object,,BacAstfor_3192686,0.9583283,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,10,,AEA3E15F-6BCB-4F6C-8B2C-15F18F21A2B9,14,702,34,277,0,42,40,2019-08-15 12:27:53.056000,2.5,1.8293,1,693.5841,29.717,13740.81,0.9765,133.4467,137.8254,140.9911,,,,0,0,0,0,0,0,0,,,,0.1306,0.2314,0.3445,4.3215,201.0929,0.4683,71.9138,11.4894,60.2145,114314.4,29.8291,-75,20,0.8116,0.552,698.8271,0,0.087,114.3335,9.9512,136.8728,63.1108,248.5694,1,,,,1.2361,0,0,21.6033,0,0,0,0,46263,0.1377,0.5065,55.7936,2715.16,2093.63,object,,BacCen000_3192255,1.0,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,11,,599053E3-A5CC-47EA-B340-CC804CDD9E20,15,490,1453,321,0,24,39,2019-08-15 12:27:53.223000,2.672,1.8293,1,751.4857,30.9325,15496.9,0.4854,144.475,147.9583,148.8222,,,,0,0,0,0,0,0,0,,,,0.3579,0.4344,0.601,2.3022,147.8826,0.8096,27.9886,5.0339,43.2426,42338.42,31.5799,80,0,0.3738,0.7279,783.2707,0,0.1987,79.1604,15.7255,147.0111,57.6229,189.7718,1,,,,1.2833,0,0,8.4761,0,0,0,0,52924,0.1049,0.2847,28.3541,9562.29,3346.42,object,,CyaMic000_3217749,0.38205588,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,12,,B01A0E33-BAFD-4461-B89D-DB6EFE6E9DB9,15,442,1327,347,0,22,593,2019-08-15 12:27:53.223000,2.672,1.8293,1,8562.0865,104.4107,595982.1,0.0188,97.7908,100.8019,105.3798,,,,0,0,0,0,0,0,0,,,,0.0,0.0206,0.0168,48.4987,2159.3982,0.4461,164.8404,150.3564,683.2436,167003400.0,104.4107,-90,0,0.1429,0.875,8562.0865,0,0.0067,1224.0754,8.1412,100.4285,1071.0551,2464.4332,1,,,,1.1413,0,0,35.0066,0,0,0,0,299076,0.241,0.8472,24.6955,51363.5,26665.23,object,,CyaPlarub_3218379,0.9999988,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,13,,C190C9FA-7120-4B1A-9636-043057F37D6A,15,420,905,371,0,20,23,2019-08-15 12:27:53.223000,2.672,1.8293,1,423.0336,23.2083,6545.248,0.7357,131.9138,133.9526,133.3664,,,,0,0,0,0,0,0,0,,,,0.8179,0.948,0.9535,1.0549,89.3589,1.0,35.4583,1.0,24.6447,7837.384,23.2083,-70,20,0.0,1.1901,423.0336,0,1.0,25.3613,25.3613,133.2845,30.1835,101.4454,1,,,,1.1353,0,0,22.5892,0,0,0,0,30922,0.8605,0.0583,17.3783,8042.57,2514.11,object,,Detritus,0.9684527,,,BacAstfor_3192686,1
